id	debug	name	stackable	members	noted	dummy	weight	value	lendable	tradeable	examine
0	mcannonremains	Dwarf remains	no	yes	-1	0	16000	0	no	no	
1	mcannontoolkit	Tool kit	no	yes	-1	0	453	0	no	no	
2	mcannonball	Cannonball	yes	yes	-1	0	3628	0	no	yes	
3	nulodions_notes	Nulodion's notes.	no	yes	-1	0	28	0	no	no	
4	ammo_mould	Ammo mould	no	yes	-1	0	4535	0	no	no	
5	mcannonbook	Instruction manual	no	yes	-1	0	510	0	no	no	
6	twpart1	Cannon base	no	yes	-1	0	10000	0	no	yes	
7	cert_twpart1	Cannon base	yes	yes	799	0	0	0	no	yes	
8	twpart2	Cannon stand	no	yes	-1	0	907	0	no	yes	
9	cert_twpart2	Cannon stand	yes	yes	799	0	0	0	no	yes	
10	twpart3	Cannon barrels	no	yes	-1	0	15000	0	no	yes	
11	cert_twpart3	Cannon barrels	yes	yes	799	0	0	0	no	yes	
12	twpart4	Cannon furnace	no	yes	-1	0	5000	0	no	yes	
13	cert_twpart4	Cannon furnace	yes	yes	799	0	0	0	no	yes	
14	mcannonrailing1_obj	Railing	no	yes	-1	0	2000	0	no	no	
15	holy_table_napkin	Holy table napkin	no	yes	-1	0	28	0	no	no	
16	magic_whistle	Magic whistle	no	yes	-1	0	5	0	no	no	
17	grail_bell	Grail bell	no	yes	-1	0	28	0	no	no	
18	magic_golden_feather	Magic gold feather	no	yes	-1	0	5	0	no	no	
19	holy_grail	Holy grail	no	yes	-1	0	85	0	no	no	
20	whitecog	Cog	no	yes	-1	0	1000	0	no	no	
21	blackcog	Cog	no	yes	-1	0	1000	0	no	no	
22	bluecog	Cog	no	yes	-1	0	1000	0	no	no	
23	redcog	Cog	no	yes	-1	0	1000	0	no	no	
24	rat_poison	Rat poison	no	yes	-1	0	141	0	no	no	
25	red_vine_worm	Red vine worm	yes	yes	-1	0	10	0	no	no	
26	hemenster_fishing_trophy	Fishing trophy	no	yes	-1	0	85	0	no	no	
27	fishing_competition_pass	Fishing pass	no	yes	-1	0	6	0	no	no	
28	insect_repellent	Insect repellent	no	yes	-1	0	28	0	no	yes	
29	cert_insect_repellent	Insect repellent	yes	yes	799	0	0	0	no	yes	
30	bucket_wax	Bucket of wax	no	yes	-1	0	2500	0	no	yes	
31	cert_bucket_wax	Bucket of wax	yes	yes	799	0	0	0	no	yes	
32	lit_black_candle	Lit black candle	no	yes	-1	0	28	0	no	no	
33	lit_candle	Lit candle	no	yes	-1	0	28	0	no	yes	
34	cert_lit_candle	Lit candle	yes	yes	799	0	0	0	no	yes	
35	excalibur	Excalibur	no	yes	-1	0	2267	0	no	no	
36	unlit_candle	Candle	no	yes	-1	0	28	0	no	yes	
37	cert_unlit_candle	Candle	yes	yes	799	0	0	0	no	yes	
38	unlit_black_candle	Black candle	no	yes	-1	0	28	0	no	no	
39	bronze_arrowheads	Bronze arrowtips	yes	yes	-1	0	4	0	no	yes	
40	iron_arrowheads	Iron arrowtips	yes	yes	-1	0	4	0	no	yes	
41	steel_arrowheads	Steel arrowtips	yes	yes	-1	0	4	0	no	yes	
42	mithril_arrowheads	Mithril arrowtips	yes	yes	-1	0	3	0	no	yes	
43	adamant_arrowheads	Adamant arrowtips	yes	yes	-1	0	5	0	no	yes	
44	rune_arrowheads	Rune arrowtips	yes	yes	-1	0	4	0	no	yes	
45	opal_bolttips	Opal bolttips	yes	yes	-1	0	4	0	no	yes	
46	pearl_bolttips	Pearl bolttips	yes	yes	-1	0	4	0	no	yes	
47	barbed_bolttips	Barb bolttips	yes	yes	-1	0	4	0	no	yes	
48	unstrung_longbow	Longbow	no	yes	-1	0	1332	0	no	yes	
49	cert_unstrung_longbow	Longbow	yes	yes	799	0	0	0	no	yes	
50	unstrung_shortbow	Shortbow	no	yes	-1	0	992	0	no	yes	
51	cert_unstrung_shortbow	Shortbow	yes	yes	799	0	0	0	no	yes	
52	arrow_shaft	Arrow shaft	yes	yes	-1	0	10	0	no	yes	
53	headless_arrow	Headless arrow	yes	yes	-1	0	12	0	no	yes	
54	unstrung_oak_shortbow	Oak shortbow	no	yes	-1	0	992	0	no	yes	
55	cert_unstrung_oak_shortbow	Oak shortbow	yes	yes	799	0	0	0	no	yes	
56	unstrung_oak_longbow	Oak longbow	no	yes	-1	0	1332	0	no	yes	
57	cert_unstrung_oak_longbow	Oak longbow	yes	yes	799	0	0	0	no	yes	
58	unstrung_willow_longbow	Willow longbow	no	yes	-1	0	1332	0	no	yes	
59	cert_unstrung_willow_longbow	Willow longbow	yes	yes	799	0	0	0	no	yes	
60	unstrung_willow_shortbow	Willow shortbow	no	yes	-1	0	992	0	no	yes	
61	cert_unstrung_willow_shortbow	Willow shortbow	yes	yes	799	0	0	0	no	yes	
62	unstrung_maple_longbow	Maple longbow	no	yes	-1	0	1332	0	no	yes	
63	cert_unstrung_maple_longbow	Maple longbow	yes	yes	799	0	0	0	no	yes	
64	unstrung_maple_shortbow	Maple shortbow	no	yes	-1	0	992	0	no	yes	
65	cert_unstrung_maple_shortbow	Maple shortbow	yes	yes	799	0	0	0	no	yes	
66	unstrung_yew_longbow	Yew longbow	no	yes	-1	0	1332	0	no	yes	
67	cert_unstrung_yew_longbow	Yew longbow	yes	yes	799	0	0	0	no	yes	
68	unstrung_yew_shortbow	Yew shortbow	no	yes	-1	0	992	0	no	yes	
69	cert_unstrung_yew_shortbow	Yew shortbow	yes	yes	799	0	0	0	no	yes	
70	unstrung_magic_longbow	Magic longbow	no	yes	-1	0	1332	0	no	yes	
71	cert_unstrung_magic_longbow	Magic longbow	yes	yes	799	0	0	0	no	yes	
72	unstrung_magic_shortbow	Magic shortbow	no	yes	-1	0	992	0	no	yes	
73	cert_unstrung_magic_shortbow	Magic shortbow	yes	yes	799	0	0	0	no	yes	
74	khazard_helmet	Khazard helmet	no	yes	-1	0	2721	0	no	no	
75	khazard_platemail	Khazard armour	no	yes	-1	0	566	0	no	no	
76	khazard_cellkeys	Khazard cell keys	no	yes	-1	0	10	0	no	no	
77	khali_brew	Khali brew	no	yes	-1	0	113	0	no	no	
78	ice_arrow	Ice arrows	yes	yes	-1	0	16	0	no	no	
79	ice_arrow_4	Ice arrow 4	yes	no	-1	2	0	0	no	no	
80	ice_arrow_3	Ice arrow 3	yes	no	-1	2	0	0	no	no	
81	ice_arrow_2	Ice arrow 2	yes	no	-1	2	0	0	no	no	
82	ice_arrow_5	Ice arrow 5	yes	no	-1	2	0	0	no	no	
83	ikov_lever	Lever	no	yes	-1	0	56	0	no	no	
84	ikov_staffofarmardyl	Staff of armadyl	no	yes	-1	0	1814	0	no	no	
85	ikov_shinykey	Shiny key	no	yes	-1	0	10	0	no	no	
86	ikov_pendantoflucien	Pendant of lucien	no	yes	-1	0	10	0	no	no	
87	ikov_pendantofarmardyl	Armadyl pendant	no	yes	-1	0	10	0	no	no	
88	ikov_bootsoflightness	Boots of lightness	no	yes	-1	0	340	0	no	no	
89	ikov_bootsoflightnessworn	Boots of lightness	no	yes	-1	0	-4535	0	no	no	
90	childs_blanket	Child's blanket	no	yes	-1	0	907	0	no	no	
91	guamvial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
92	cert_guamvial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
93	marrentillvial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
94	cert_marrentillvial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
95	tarrominvial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
96	cert_tarrominvial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
97	harralandervial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
98	cert_harralandervial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
99	ranarrvial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
100	cert_ranarrvial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
101	iritvial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
102	cert_iritvial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
103	avantoevial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
104	cert_avantoevial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
105	kwuarmvial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
106	cert_kwuarmvial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
107	cadantinevial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
108	cert_cadantinevial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
109	dwarfweedvial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
110	cert_dwarfweedvial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
111	torstolvial	Unfinished potion	no	yes	-1	0	56	0	no	yes	
112	cert_torstolvial	Unfinished potion	yes	yes	799	0	0	0	no	yes	
113	strength4	Strength potion(4)	no	no	-1	0	35	0	no	yes	
114	cert_strength4	Strength potion(4)	yes	no	799	0	0	0	no	yes	
115	3dose1strength	Strength potion(3)	no	no	-1	0	30	0	no	yes	
116	cert_3dose1strength	Strength potion(3)	yes	no	799	0	0	0	no	yes	
117	2dose1strength	Strength potion(2)	no	no	-1	0	25	0	no	yes	
118	cert_2dose1strength	Strength potion(2)	yes	no	799	0	0	0	no	yes	
119	1dose1strength	Strength potion(1)	no	no	-1	0	20	0	no	yes	
120	cert_1dose1strength	Strength potion(1)	yes	no	799	0	0	0	no	yes	
121	3dose1attack	Attack potion(3)	no	yes	-1	0	30	0	no	yes	
122	cert_3dose1attack	Attack potion(3)	yes	yes	799	0	0	0	no	yes	
123	2dose1attack	Attack potion(2)	no	yes	-1	0	25	0	no	yes	
124	cert_2dose1attack	Attack potion(2)	yes	yes	799	0	0	0	no	yes	
125	1dose1attack	Attack potion(1)	no	yes	-1	0	20	0	no	yes	
126	cert_1dose1attack	Attack potion(1)	yes	yes	799	0	0	0	no	yes	
