absX	absZ	level	id	name	count
2184	3139	0	3216	Barrel	1
2189	3140	0	3216	Barrel	1
2190	3144	0	3216	Barrel	1
2199	3257	0	1931	Pot	1
2205	3257	0	3216	Barrel	1
2208	3259	0	3216	Barrel	1
2262	3168	0	239	White berries	1
2309	9801	0	1925	Bucket	1
2336	3316	0	223	Red spiders' eggs	1
2338	3313	0	223	Red spiders' eggs	1
2339	3309	0	223	Red spiders' eggs	1
2340	3312	0	223	Red spiders' eggs	1
2343	3313	0	223	Red spiders' eggs	1
2346	3310	0	223	Red spiders' eggs	1
2371	9461	0	526	Bones	1
2372	9409	0	526	Bones	1
2372	9411	0	526	Bones	1
2373	9460	0	526	Bones	1
2374	9410	0	526	Bones	1
2375	9409	0	526	Bones	1
2390	9421	0	526	Bones	1
2390	9423	0	526	Bones	1
2390	9456	0	526	Bones	1
2391	9421	0	526	Bones	1
2391	9453	0	526	Bones	1
2391	9469	0	526	Bones	1
2393	9463	0	526	Bones	1
2395	9439	0	526	Bones	1
2401	9457	0	526	Bones	1
2403	9460	0	526	Bones	1
2412	9423	0	526	Bones	1
2413	9425	0	526	Bones	1
2414	9424	0	526	Bones	1
2415	9447	0	2347	Hammer	1
2423	9449	0	526	Bones	1
2426	9468	0	526	Bones	1
2427	9419	0	526	Bones	1
2429	9415	0	526	Bones	1
2429	9418	0	526	Bones	1
2403	9660	0	954	Rope	1
2382	9668	0	2529	Orb of light	1
2385	9685	0	1483	Orb of light	1
2386	9677	0	1482	Orb of light	1
2416	9698	0	1484	Orb of light	1
2417	9673	0	1493	Old journal	1
2387	9810	0	2030	Choc saturday	1
2381	3414	0	2150	Swamp toad	1
2382	3412	0	2150	Swamp toad	1
2388	3410	0	2150	Swamp toad	1
2399	3406	0	2150	Swamp toad	1
2401	3404	0	2150	Swamp toad	1
2406	3405	0	2150	Swamp toad	1
2408	3408	0	2150	Swamp toad	1
2407	3516	0	2150	Swamp toad	1
2408	3515	0	2162	King worm	1
2408	3518	0	2162	King worm	1
2409	3514	0	2150	Swamp toad	1
2411	3512	0	2150	Swamp toad	1
2412	3519	0	2150	Swamp toad	1
2413	3511	0	2150	Swamp toad	1
2414	3510	0	2162	King worm	1
2414	3518	0	2162	King worm	1
2415	3511	0	2162	King worm	1
2415	3517	0	2162	King worm	1
2415	3518	0	2150	Swamp toad	1
2416	3512	0	2150	Swamp toad	1
2417	3508	0	2150	Swamp toad	1
2417	3512	0	2150	Swamp toad	1
2417	3515	0	2150	Swamp toad	1
2417	3516	0	2150	Swamp toad	1
2418	3511	0	2150	Swamp toad	1
2418	3517	0	2150	Swamp toad	1
2419	3511	0	2162	King worm	1
2421	3509	0	2150	Swamp toad	1
2421	3519	0	2150	Swamp toad	1
2424	3514	0	2150	Swamp toad	1
2424	3517	0	2150	Swamp toad	1
2425	3515	0	2162	King worm	1
2426	3507	0	2162	King worm	1
2427	3508	0	2162	King worm	1
2428	3510	0	2150	Swamp toad	1
2379	4712	0	740	Blue hat	1
2443	9653	0	1480	Rock	1
2448	9639	0	1480	Rock	1
2435	9726	0	960	Plank	1
2437	3164	0	179	Antipoison(1)	1
2443	3187	0	600	Astrology book	1
2458	3191	0	1511	Logs	1
2461	3178	0	1783	Bucket of sand	1
2462	3187	0	1511	Logs	1
2464	3191	0	1511	Logs	1
2466	3179	0	526	Bones	1
2467	3177	0	179	Antipoison(1)	1
2453	3230	0	526	Bones	1
2455	3220	0	526	Bones	1
2456	3230	0	526	Bones	1
2456	3234	0	526	Bones	1
2457	3224	0	526	Bones	1
2459	3222	0	526	Bones	1
2461	3230	0	526	Bones	1
2466	3226	0	526	Bones	1
2470	3217	0	526	Bones	1
2470	3223	0	526	Bones	1
2476	3224	0	526	Bones	1
2480	3219	0	526	Bones	1
2484	3221	0	526	Bones	1
2483	3482	1	2026	Cocktail glass	1
2489	3489	1	2026	Cocktail glass	1
2498	9434	0	995	Coins	1
2499	9432	0	995	Coins	1
2500	9427	0	995	Coins	1
2501	9427	0	526	Bones	1
2503	9425	0	526	Bones	1
2504	9427	0	526	Bones	1
2505	9441	0	2384	Finger nails	1
2505	9447	0	526	Bones	1
2506	9448	0	526	Bones	1
2507	9447	0	526	Bones	1
2508	9447	0	526	Bones	1
2508	9449	0	526	Bones	1
2512	9448	0	526	Bones	1
2517	9453	0	2384	Finger nails	1
2528	9415	0	2398	Nightshade	1
2530	9462	0	2398	Nightshade	1
2531	9461	0	526	Bones	1
2532	9464	0	526	Bones	1
2533	9462	0	526	Bones	1
2535	9464	0	526	Bones	1
2496	2965	0	526	Bones	1
2499	2958	0	526	Bones	1
2500	2967	0	560	Death rune	1
2506	2952	0	526	Bones	1
2508	2982	0	526	Bones	1
2512	2982	0	526	Bones	1
2522	2983	0	526	Bones	1
2542	2983	0	526	Bones	1
2552	2984	0	526	Bones	1
2552	2986	0	526	Bones	1
2512	3021	0	526	Bones	1
2512	3023	0	526	Bones	1
2513	3020	0	526	Bones	1
2513	3021	0	526	Bones	1
2514	3020	0	526	Bones	1
2515	3020	0	526	Bones	1
2529	3030	0	946	Knife	1
2541	3028	0	526	Bones	1
2542	3027	0	526	Bones	1
2545	3031	0	526	Bones	1
2548	3044	0	526	Bones	1
2549	3043	0	526	Bones	1
2551	3042	0	526	Bones	1
2503	3118	0	526	Bones	1
2505	3114	0	526	Bones	1
2507	3116	0	526	Bones	1
2508	3086	0	526	Bones	1
2509	3084	0	526	Bones	1
2510	3080	0	526	Bones	1
2510	3088	0	526	Bones	1
2510	3090	0	247	Jangerberries	1
2511	3114	0	526	Bones	1
2512	3080	0	247	Jangerberries	1
2513	3085	0	526	Bones	1
2516	3084	0	526	Bones	1
2516	3086	0	247	Jangerberries	1
2517	3082	0	247	Jangerberries	1
2547	3114	0	33	Lit candle	1
2540	3249	0	1137	Iron med helm	1
2543	3287	0	1755	Chisel	1
2543	3288	0	946	Knife	1
2517	3378	0	1917	Beer	1
2521	3379	0	1917	Beer	1
2525	3365	0	1917	Beer	1
2535	3333	0	1984	Rotten apples	1
2552	3574	0	960	Plank	1
2553	3575	0	960	Plank	1
2554	3574	0	960	Plank	1
2556	3573	0	960	Plank	1
2512	4591	0	401	Seaweed	1
2529	4583	0	401	Seaweed	1
2542	4582	0	401	Seaweed	1
2555	4545	0	401	Seaweed	1
2556	4574	0	401	Seaweed	1
2613	9441	0	526	Bones	1
2614	9417	0	526	Bones	1
2615	9415	0	526	Bones	1
2615	9438	0	526	Bones	1
2615	9442	0	526	Bones	1
2616	9443	0	526	Bones	1
2617	9416	0	526	Bones	1
2617	9437	0	2397	Shaman robe	1
2617	9440	0	526	Bones	1
2617	9446	0	526	Bones	1
2618	9416	0	526	Bones	1
2618	9417	0	526	Bones	1
2618	9420	0	526	Bones	1
2619	9418	0	526	Bones	1
2620	9418	0	526	Bones	1
2563	9511	0	347	Herring	1
2567	9526	0	946	Knife	1
2615	9571	0	1523	Lockpick	1
2564	9662	0	24	Rat poison	1
2570	9604	0	90	Child's blanket	1
2574	9633	0	22	Cog	1
2577	9655	0	20	Cog	1
2583	9613	0	23	Cog	1
2613	9639	0	21	Cog	1
2564	9669	0	946	Knife	1
2564	9670	0	2309	Bread	1
2580	9732	0	526	Bones	1
2580	9741	0	526	Bones	1
2584	9732	0	526	Bones	1
2584	9743	0	526	Bones	1
2586	9732	0	526	Bones	1
2589	9731	0	526	Bones	1
2590	9731	0	526	Bones	1
2590	9736	0	526	Bones	1
2592	9740	0	526	Bones	1
2569	9897	0	298	A key	1
2560	2971	0	1573	Doogle leaves	1
2562	2973	0	1573	Doogle leaves	1
2563	2971	0	1573	Doogle leaves	1
2565	2972	0	1573	Doogle leaves	1
2584	2966	0	1982	Tomato	1
2601	2959	0	526	Bones	1
2603	2964	0	526	Bones	1
2603	2968	0	526	Bones	1
2607	2964	0	526	Bones	1
2571	3026	0	954	Rope	1
2571	3030	0	526	Bones	1
2571	3036	0	526	Bones	1
2573	3056	0	687	Broken arrow	1
2574	3035	0	526	Bones	1
2576	3051	0	687	Broken arrow	1
2577	3029	0	526	Bones	1
2568	3102	0	1937	Jug of water	1
2587	3090	2	229	Vial	1
2588	3090	2	229	Vial	1
2563	3261	0	1773	Purple dye	1
2598	3211	0	33	Lit candle	1
2616	3255	0	1925	Bucket	1
2618	3323	0	424	Pigeon cage	1
2618	3324	0	424	Pigeon cage	1
2618	3325	0	424	Pigeon cage	1
2572	3284	1	1327	Black scimitar	1
2574	3331	0	952	Spade	1
2576	3334	0	1510	Picture	1
2604	3357	0	278	Prod	1
2605	3395	0	305	Big fishing net	1
2605	3396	0	311	Harpoon	1
2608	3397	0	301	Lobster pot	1
2567	3444	2	0	Dwarf remains	1
2653	9767	0	946	Knife	1
2654	9767	0	88	Boots of lightness	1
2637	9819	0	83	Lever	1
2643	9853	0	687	Broken arrow	1
2644	9851	0	687	Broken arrow	1
2649	9854	0	687	Broken arrow	1
2670	9821	0	526	Bones	1
2671	9831	0	526	Bones	1
2672	9823	0	526	Bones	1
2673	9822	0	526	Bones	1
2673	9829	0	526	Bones	1
2628	9859	0	85	Shiny key	1
2633	9908	0	1925	Bucket	1
2638	9906	0	84	Staff of armadyl	1
2639	2952	0	2128	Equa leaves	1
2648	2963	0	2128	Equa leaves	1
2649	2956	0	2128	Equa leaves	1
2638	3292	0	1856	Guide book	1
2675	3299	0	1420	Iron mace	1
2683	3318	0	1755	Chisel	1
2684	3318	0	2347	Hammer	1
2648	3363	0	1955	Cooking apple	1
2667	3387	0	1923	Bowl	1
2652	3454	0	1785	Glassblowing pipe	1
2657	3424	0	687	Broken arrow	1
2665	3424	0	687	Broken arrow	1
2668	3419	0	687	Broken arrow	1
2670	3424	0	687	Broken arrow	1
2670	3437	0	687	Broken arrow	1
2672	3421	0	687	Broken arrow	1
2672	3433	0	39	Bronze arrowtips	1
2673	3428	0	687	Broken arrow	1
2676	3431	0	687	Broken arrow	1
2677	3422	0	687	Broken arrow	1
2677	3425	0	687	Broken arrow	1
2678	3426	0	882	Bronze arrow	1
2678	3427	0	839	Longbow	1
2679	3425	0	697	Damaged armour	1
2680	3424	0	882	Bronze arrow	1
2681	3426	0	888	Mithril arrow	1
2667	3425	2	687	Broken arrow	1
2667	3427	2	687	Broken arrow	1
2669	3431	2	687	Broken arrow	1
2633	3496	0	2126	Dwellberries	1
2638	3479	0	2126	Dwellberries	1
2645	3498	0	2126	Dwellberries	1
2664	3476	0	2126	Dwellberries	1
2667	3494	0	2126	Dwellberries	1
2658	3676	0	3803	Beer	1
2659	3676	0	3805	Tankard	1
2660	3676	0	3711	Keg of beer	1
2685	3683	0	1927	Bucket of milk	1
2671	3737	0	561	Nature rune	2
2672	3728	0	1267	Iron pickaxe	1
2672	3738	0	561	Nature rune	2
2675	3719	0	526	Bones	1
2678	3731	0	1351	Bronze axe	1
2679	3740	0	1607	Sapphire	1
2681	3717	0	946	Knife	1
2682	3729	0	526	Bones	1
2626	4722	0	16	Magic whistle	1
2627	4728	0	16	Magic whistle	1
2637	4692	0	16	Magic whistle	1
2649	4684	2	19	Holy grail	1
2715	9819	0	995	Coins	1
2715	9820	0	1635	Gold ring	1
2716	9816	0	995	Coins	1
2717	9821	0	995	Coins	2
2718	9816	0	1623	Uncut sapphire	1
2718	9822	0	995	Coins	1
2720	9815	0	995	Coins	1
2721	9818	0	995	Coins	3
2721	9819	0	995	Coins	1
2721	9821	0	995	Coins	7
2722	9816	0	995	Coins	1
2691	3203	0	1895	Slice of cake	1
2691	3218	0	1895	Slice of cake	1
2732	3224	0	444	Gold ore	1
2724	3367	0	970	Papyrus	1
2700	3407	0	946	Knife	1
2704	3475	0	946	Knife	1
2746	3578	0	1813	Criminals' dagger	1
2747	3579	0	1812	Pungent pot	1
2734	3638	0	1573	Doogle leaves	1
2735	3636	0	1573	Doogle leaves	1
2736	3640	0	1573	Doogle leaves	1
2736	3642	0	1573	Doogle leaves	1
2737	3637	0	1573	Doogle leaves	1
2738	3642	0	1573	Doogle leaves	1
2739	3643	0	1573	Doogle leaves	1
2741	3639	0	1573	Doogle leaves	1
2742	3636	0	1573	Doogle leaves	1
2742	3638	0	1573	Doogle leaves	1
2742	3641	0	1573	Doogle leaves	1
2742	3643	0	1573	Doogle leaves	1
2744	3638	0	1573	Doogle leaves	1
2693	3727	0	401	Seaweed	1
2699	3729	0	401	Seaweed	1
2701	3731	0	401	Seaweed	1
2708	3728	0	401	Seaweed	1
2712	3732	0	401	Seaweed	1
2714	3733	0	401	Seaweed	1
2719	3733	0	401	Seaweed	1
2721	3731	0	401	Seaweed	1
2725	3731	0	401	Seaweed	1
2755	2952	0	401	Seaweed	1
2757	2947	0	401	Seaweed	1
2762	3001	0	401	Seaweed	1
2771	2995	0	401	Seaweed	1
2782	2987	0	401	Seaweed	1
2786	2960	0	401	Seaweed	1
2755	3017	0	401	Seaweed	1
2755	3049	0	401	Seaweed	1
2755	3071	0	401	Seaweed	1
2756	3008	0	401	Seaweed	1
2753	3119	0	401	Seaweed	1
2756	3075	0	401	Seaweed	1
2756	3125	0	401	Seaweed	1
2757	3109	0	401	Seaweed	1
2807	3129	0	401	Seaweed	1
2765	3198	0	995	Coins	2
2767	3197	0	995	Coins	5
2767	3199	0	995	Coins	2
2768	3198	0	995	Coins	4
2772	3197	0	995	Coins	5
2790	3199	0	1929	Bucket of water	1
2794	3165	0	1919	Beer glass	1
2795	3160	0	1919	Beer glass	1
2795	3161	0	1351	Bronze axe	1
2795	3165	0	1919	Beer glass	1
2796	3165	0	1917	Beer	1
2798	3156	0	1919	Beer glass	1
2798	3160	0	1919	Beer glass	1
2798	3161	0	1919	Beer glass	1
2799	3155	0	1919	Beer glass	1
2799	3156	0	1917	Beer	1
2765	3278	0	1469	Broken glass	1
2765	3289	0	1469	Broken glass	1
2784	3289	0	1467	Damp sticks	1
2785	3279	0	954	Rope	1
2786	3286	0	954	Rope	1
2786	3287	0	954	Rope	1
2803	3382	0	401	Seaweed	1
2804	3380	0	401	Seaweed	1
2804	3385	0	401	Seaweed	1
2805	3381	0	401	Seaweed	1
2805	3384	0	401	Seaweed	1
2807	3384	0	401	Seaweed	1
2807	3386	0	401	Seaweed	1
2808	3343	0	229	Vial	1
2809	3342	0	229	Vial	1
2809	3385	0	401	Seaweed	1
2809	3388	0	401	Seaweed	1
2810	3387	0	401	Seaweed	1
2766	3441	0	1925	Bucket	1
2807	3450	0	28	Insect repellent	1
2806	3449	1	1993	Jug of wine	1
2813	3449	1	2313	Pie dish	1
2768	3500	1	554	Fire rune	2
2755	4728	0	16	Magic whistle	1
2761	4689	0	16	Magic whistle	1
2806	4710	0	16	Magic whistle	1
2762	4677	1	16	Magic whistle	1
2829	9564	0	526	Bones	1
2830	9565	0	526	Bones	1
2832	9586	0	223	Red spiders' eggs	1
2833	9561	0	554	Fire rune	1
2836	9566	0	554	Fire rune	1
2838	9552	0	554	Fire rune	1
2842	9552	0	554	Fire rune	1
2843	9560	0	554	Fire rune	1
2856	9645	0	995	Coins	1
2860	9643	0	995	Coins	1
2861	9628	0	995	Coins	1
2863	9629	0	995	Coins	1
2863	9632	0	995	Coins	1
2829	9764	0	526	Bones	1
2831	9766	0	526	Bones	1
2857	9746	0	526	Bones	1
2857	9751	0	526	Bones	1
2859	9746	0	526	Bones	1
2861	9878	0	1913	Dwarven stout	1
2863	9875	0	1913	Dwarven stout	1
2870	9878	0	1913	Dwarven stout	1
2853	2977	0	401	Seaweed	1
2854	2977	0	401	Seaweed	1
2866	2976	0	401	Seaweed	1
2864	3195	0	401	Seaweed	1
2847	3232	0	960	Plank	1
2847	3238	0	960	Plank	1
2851	3239	0	960	Plank	1
2856	3231	0	960	Plank	1
2856	3236	0	960	Plank	1
2822	3355	0	1785	Glassblowing pipe	1
2843	3369	0	1971	Kebab	1
2851	3372	0	1944	Egg	1
2852	3369	0	1944	Egg	1
2853	3370	0	1944	Egg	1
2860	3335	0	307	Fishing rod	1
2816	3351	1	1923	Bowl	1
2820	3449	0	1935	Jug	1
2820	3450	0	946	Knife	1
2820	3452	0	1929	Bucket of water	1
2820	3453	0	357	Burnt fish	1
2820	3455	0	2313	Pie dish	1
2823	3449	0	1929	Bucket of water	1
2858	3586	0	1925	Bucket	1
2864	3585	0	1925	Bucket	1
2915	9503	0	617	Coins	1
2900	9766	0	1590	Dusty key	1
2902	9806	0	243	Blue dragon scale	1
2904	9826	0	526	Bones	1
2905	9801	0	243	Blue dragon scale	1
2906	9796	0	243	Blue dragon scale	1
2906	9823	0	526	Bones	1
2906	9825	0	526	Bones	1
2907	9807	0	995	Coins	5
2907	9824	0	526	Bones	1
2908	9794	0	526	Bones	1
2908	9805	0	243	Blue dragon scale	1
2909	9800	0	995	Coins	1
2910	9797	0	526	Bones	1
2910	9803	0	995	Coins	8
2910	9809	0	243	Blue dragon scale	1
2910	9825	0	526	Bones	1
2912	9801	0	995	Coins	4
2913	9806	0	995	Coins	6
2914	9796	0	526	Bones	1
2914	9849	0	995	Coins	1
2917	9796	0	526	Bones	1
2917	9850	0	995	Coins	1
2922	9819	0	995	Coins	1
2924	9801	0	526	Bones	1
2924	9804	0	526	Bones	1
2926	9801	0	526	Bones	1
2927	9805	0	526	Bones	1
2929	9807	0	526	Bones	1
2930	9794	0	526	Bones	1
2932	9792	0	526	Bones	1
2934	9834	0	995	Coins	1
2935	9799	0	526	Bones	1
2938	9792	0	526	Bones	1
2938	9796	0	526	Bones	1
2896	3119	0	401	Seaweed	1
2913	3111	0	401	Seaweed	1
2926	3110	0	401	Seaweed	1
2939	3073	0	401	Seaweed	1
2940	3102	0	401	Seaweed	1
2903	3148	0	946	Knife	1
2904	3152	0	954	Rope	1
2905	3146	0	1935	Jug	1
2907	3146	0	1963	Banana	1
2938	3158	0	556	Air rune	1
2906	3297	0	231	Snape grass	1
2907	3295	0	231	Snape grass	1
2917	3274	0	231	Snape grass	1
2928	3289	0	1935	Jug	1
2928	3290	0	1595	Amulet mould	1
2934	3286	0	2347	Hammer	1
2935	3286	0	1755	Chisel	1
2936	3292	0	1935	Jug	1
2930	3285	1	1735	Shears	1
2931	3287	1	1599	Holy mould	1
2932	3287	1	1597	Necklace mould	1
2886	3412	0	1978	Cup of tea	1
2903	3400	0	2150	Swamp toad	1
2903	3441	0	1978	Cup of tea	1
2907	3394	0	2150	Swamp toad	1
2908	3410	0	2150	Swamp toad	1
2914	3439	1	841	Shortbow	1
2930	3515	0	245	Wine of zamorak	1
2935	3460	0	2407	Ball	1
2900	3473	1	2408	Diary	1
2901	3468	1	2409	Door key	1
2893	3561	0	3111	Stone ball	1
2893	3562	0	3113	Stone ball	1
2893	3563	0	3112	Stone ball	1
2893	3564	0	3110	Stone ball	1
2893	3565	0	3109	Stone ball	1
2906	3538	0	1905	Asgarnian ale	1
2907	3538	0	1919	Beer glass	1
2987	9583	0	995	Coins	1
2988	9582	0	995	Coins	1
2988	9584	0	995	Coins	1
2966	9772	0	526	Bones	1
2968	9771	0	526	Bones	1
2985	9817	0	1103	Bronze chainbody	1
2993	9847	0	2313	Pie dish	1
3001	9798	0	995	Coins	1
3003	9801	0	995	Coins	1
2999	10340	0	526	Bones	1
3002	10343	0	526	Bones	1
3003	10340	0	526	Bones	1
3005	10343	0	526	Bones	1
2952	2951	0	401	Seaweed	1
2960	2959	0	401	Seaweed	1
2972	2972	0	2028	Blurberry special	1
2947	3067	0	401	Seaweed	1
2954	3060	0	2347	Hammer	1
2955	3010	0	401	Seaweed	1
2963	3058	0	2347	Hammer	1
2975	3013	0	401	Seaweed	1
2986	3048	0	2347	Hammer	1
2989	3061	0	2347	Hammer	1
2955	3202	0	1511	Logs	1
2956	3203	0	1511	Logs	1
2959	3205	0	882	Bronze arrow	1
2963	3216	0	1265	Bronze pickaxe	1
2963	3212	1	1321	Bronze scimitar	1
2944	3332	0	882	Bronze arrow	2
2981	3369	0	952	Spade	1
2970	3376	1	1351	Bronze axe	1
2975	3368	1	2347	Hammer	1
2975	3381	1	2140	Cooked chicken	1
2958	3510	0	1925	Bucket	1
2977	3529	0	964	Skull	1
2978	3531	0	964	Skull	1
2955	3700	0	966	Tile	1
2956	3702	0	966	Tile	1
2957	3697	0	966	Tile	1
2959	3697	0	966	Tile	1
2962	3697	0	526	Bones	1
2963	3706	0	966	Tile	1
2969	3689	0	526	Bones	1
2976	3682	0	966	Tile	1
2978	3704	0	966	Tile	1
2979	3675	0	995	Coins	5
2983	3697	0	966	Tile	1
2985	3675	0	995	Coins	5
2987	3684	0	966	Tile	1
2987	3686	0	1887	Cake tin	1
2988	3683	0	313	Fishing bait	1
2990	3675	0	995	Coins	4
2993	3691	0	966	Tile	1
