name	type	absX	absZ
Lumbridge	1	3239	3233
Varrock	1	3211	3450
Kingdom Of/Misthalin	2	3217	3321
Al Kharid	1	3297	3150
Duel/Arena	1	3361	3233
Shantay/Pass	0	3304	3126
Toll/Gate	0	3278	3227
Tutorial Island	1	3105	3099
Port/Sarim	1	3047	3221
Falador	1	2989	3355
Edgeville	1	3098	3488
Brimhaven	1	2779	3174
Karamja	2	2860	3059
Crandor	2	2839	3271
Entrana	2	2850	3379
Draynor/Village	1	3120	3267
Jail	0	3126	3244
Market	0	3090	3252
Draynor Manor	1	3108	3345
Barbarian/Village	1	3063	3416
Desert Mining/Camp	0	3291	3022
Bedabin/Camp	0	3170	3038
Exam Centre	0	3361	3345
Dig Site	0	3365	3419
Lumber Yard	0	3308	3507
Palace	0	3213	3483
Cooks'/Guild	0	3137	3437
Monastery	0	3052	3477
Dwarven/Mine	0	3016	3441
Ice/Mountain	1	3009	3487
Black Knights'/Fortress	0	3018	3522
Goblin/Village	0	2963	3502
White Knights'/Castle	0	2961	3345
Park	0	3005	3379
Kingdom of/Asgarnia	2	2988	3412
Dark Wizards'/Tower	0	2907	3336
(due Jan-2005)	0	3429	3555
Melzar's/Maze	0	2931	3248
Rimmington	0	2960	3222
Wizards' Tower	0	3112	3153
Lumbridge/Swamp	0	3195	3183
Fishing/Platform	0	2775	3287
Tai Bwo Wannai	0	2794	3066
Shilo Village	1	2849	2986
Ship Yard	0	2990	3055
Cairn Isle	0	2764	2979
Kharazi Jungle	0	2844	2923
Chaos/Temple	0	3238	3610
Graveyard of/Shadows	0	3167	3673
Bandit/Camp	0	3036	3689
Dark Knight/Fortress	0	3030	3633
Ruins	0	2966	3697
The Forgotten/Cemetery	0	2977	3753
Ruins	0	3164	3735
Bone Yard	0	3246	3746
Red Dragon/Isle	0	3199	3824
Wilderness	2	3144	3773
Lava Maze	0	3079	3848
Frozen Waste/Plateau	0	2972	3919
Agility Training/Area	0	3005	3950
Pirates'/Hideout	0	3043	3948
Mage Arena	0	3107	3933
Deserted/Keep	0	3156	3937
Scorpion/Pit	0	3236	3945
Rogues' Castle	0	3286	3931
Demonic/Ruins	0	3293	3884
Chaos/Temple	0	2934	3526
Heros'/Guild	0	2894	3501
Druids'/Circle	0	2925	3473
Taverley	0	2900	3458
White Wolf/Mountain	1	2849	3492
Catherby	0	2821	3432
Camelot/Castle	0	2763	3505
Seers'/Village	1	2692	3489
Sinclair Mansion	0	2739	3551
Flax	0	2744	3445
Beehives	0	2767	3443
Sorcerers' Tower	0	2718	3415
Keep/Le Faye	0	2770	3399
Legends'/Guild	0	2737	3374
Hemenster	0	2655	3438
McGrubor's/Wood	0	2647	3480
Coal/Trucks	0	2600	3491
Fishing/Guild	0	2607	3403
Kingdom of/Kandarin	2	2578	3443
East/Ardougne	1	2597	3298
West/Ardougne	1	2524	3308
Combat/Training/Camp	0	2519	3370
Agility/Training/Area	0	2481	3426
Tree Gnome/Stronghold	1	2433	3454
Grand Tree	0	2469	3504
Swamp	0	2419	3513
Gnome Ball/Field	0	2401	3487
Agility Training/Area	0	2539	3533
Barbarian Outpost	0	2550	3563
Underground/Pass	0	2443	3315
Battlefield	0	2522	3232
Baxtorian/Falls	0	2515	3462
Tree Gnome/Village	0	2528	3174
Fight/Arena	0	2594	3162
Port/Khazard	1	2659	3189
Yanille	1	2549	3091
Wizards'/Guild	0	2589	3077
Observatory	0	2440	3151
Necromancer	0	2669	3243
Gu'Tanoth	0	2528	3046
Feldip/Hills	2	2566	2985
Zoo	0	2614	3273
Morytania	2	3469	3443
Mort Myre/Swamp	1	3439	3383
Canifis	1	3491	3487
River/Salve	0	3410	3438
River Lum	0	3167	3350
Temple	0	3421	3489
Agility/Arena	0	2815	3193
Burthorpe	1	2895	3549
Death/Plateau	0	2865	3592
Tirannwn	2	2241	3265
Isafdar	1	2243	3186
Arandar	1	2340	3296
Prifddinas	1	2237	3309
Tyras/Camp	0	2180	3147
Elf/Camp	0	2196	3256
Trollheim	0	2892	3678
Troll/Stronghold	0	2835	3681
Mort'ton	1	3491	3281
The/Hollows	0	3500	3384
Poison Waste	0	2241	3098
Castle Wars/(due Dec-2004)	0	2432	3111
Champions'/Guild	0	3201	3354
Rellekka	1	2672	3681
Golden/Apple Tree	0	2765	3608
Lighthouse	0	2514	3628
Fremennik/Province	1	2679	3632
Crafting/Guild	0	2921	3282
Haunted/Woods	0	3567	3488
