kind	mapfunction	icon	name	id	absX	absZ	level
loc	26	Fishing Spot	fishing_point_icon	2759	2161	3275	0
loc	0	General Store	general_store_icon	2733	2195	3140	0
loc	9	Furnace	furnace_icon	2742	2193	3146	0
loc	26	Fishing Spot	fishing_point_icon	2759	2216	3245	0
loc	8	Mining Site	mining_site_icon	2741	2278	3159	0
loc	34	Rare Trees	rare_trees_icon	2767	2285	3141	0
loc	26	Fishing Spot	fishing_point_icon	2759	2270	3253	0
loc	19	Altar	altar_icon	2752	2271	4842	0
loc	19	Altar	altar_icon	2752	2341	9628	0
loc	8	Mining Site	mining_site_icon	2741	2323	3269	0
loc	39	Water Source	water_source_icon	2771	2368	3130	0
loc	39	Water Source	water_source_icon	2771	2431	3077	0
loc	26	Fishing Spot	fishing_point_icon	2759	2382	3415	0
loc	26	Fishing Spot	fishing_point_icon	2759	2390	3422	0
loc	34	Rare Trees	rare_trees_icon	2767	2372	3427	0
loc	34	Rare Trees	rare_trees_icon	2767	2384	3426	0
loc	38	???	minigame_start_icon	738	2382	3488	0
loc	31	Pub/Bar	beer_store_icon	2764	2418	3500	1
loc	8	Mining Site	mining_site_icon	2741	2490	9916	0
loc	38	???	minigame_start_icon	738	2440	3092	0
loc	5	Bank	bank_store_icon	2738	2445	3082	0
loc	6	Quest Start	quest_start_icon	2739	2440	3189	0
loc	26	Fishing Spot	fishing_point_icon	2759	2467	3151	0
loc	39	Water Source	water_source_icon	2771	2440	3181	0
loc	40	Cooking Range	range_icon	2772	2445	3189	0
loc	40	Cooking Range	range_icon	2772	2459	3174	0
loc	8	Mining Site	mining_site_icon	2741	2472	3255	0
loc	19	Altar	altar_icon	2752	2454	3231	0
loc	0	General Store	general_store_icon	2733	2465	3286	0
loc	49	?	agility_training_icon	775	2475	3436	0
loc	5	Bank	bank_store_icon	2738	2447	3424	0
loc	34	Rare Trees	rare_trees_icon	2767	2433	3411	0
loc	34	Rare Trees	rare_trees_icon	2767	2491	3414	0
loc	34	Rare Trees	rare_trees_icon	2767	2494	3396	0
loc	35	Spinning Wheel	spinningwheel_icon	2768	2475	3398	0
loc	35	Spinning Wheel	spinningwheel_icon	2768	2487	3401	0
loc	35	Spinning Wheel	spinningwheel_icon	2768	2488	3410	0
loc	1	Sword Shop	sword_store_icon	2734	2467	3486	2
loc	5	Bank	bank_store_icon	2738	2440	3486	1
loc	5	Bank	bank_store_icon	2738	2451	3480	1
loc	6	Quest Start	quest_start_icon	2739	2466	3497	0
loc	27	Clothes Shop	clothing_store_icon	2760	2482	3513	1
loc	31	Pub/Bar	beer_store_icon	2764	2479	3489	1
loc	36	Food Shop	food_store_icon	2769	2446	3501	1
loc	37	Cookery Shop	cooking_store_icon	2770	2447	3509	1
loc	37	Cookery Shop	cooking_store_icon	2770	2480	3482	1
loc	12	Dungeon	dungeonentrance_icon	2745	2445	4604	0
loc	6	Quest Start	quest_start_icon	2739	2546	3112	2
loc	31	Pub/Bar	beer_store_icon	2764	2556	3078	0
loc	39	Water Source	water_source_icon	2771	2549	3102	0
loc	39	Water Source	water_source_icon	2771	2557	3114	0
loc	40	Cooking Range	range_icon	2772	2549	3099	0
loc	0	General Store	general_store_icon	2733	2527	3161	0
loc	0	General Store	general_store_icon	2733	2525	3160	1
loc	6	Quest Start	quest_start_icon	2739	2542	3169	0
loc	12	Dungeon	dungeonentrance_icon	2745	2533	3155	0
loc	19	Altar	altar_icon	2752	2530	3286	0
loc	10	Anvil	anvil_icon	2743	2500	3330	0
loc	26	Fishing Spot	fishing_point_icon	2759	2508	3420	0
loc	26	Fishing Spot	fishing_point_icon	2759	2527	3412	0
