absX	absZ	level	id	name	debug	vislevel	att	def	str	hp	rng	mage	members	size	attackrange
1884	4815	0	149	Gull	gull1	0	22	17	22	32	1	1	false	2	0
1885	4825	0	464	Murphy	murphy_normal	0	1	1	1	1	1	1	false	1	0
1888	4831	0	150	Gull	gull2	0	22	17	22	32	1	1	false	2	0
1889	4818	0	150	Gull	gull2	0	22	17	22	32	1	1	false	2	0
1893	4832	0	149	Gull	gull1	0	22	17	22	32	1	1	false	2	0
1896	4819	0	149	Gull	gull1	0	22	17	22	32	1	1	false	2	0
1940	4831	0	149	Gull	gull1	0	22	17	22	32	1	1	false	2	0
1944	4814	0	149	Gull	gull1	0	22	17	22	32	1	1	false	2	0
1947	4827	0	466	Murphy	murphy_sunk	0	1	1	1	1	1	1	false	1	0
1948	4833	0	150	Gull	gull2	0	22	17	22	32	1	1	false	2	0
1950	4819	0	468	Shark	fin2	0	1	1	1	1	1	1	false	1	0
1955	4833	0	467	Shark	fin1	0	1	1	1	1	1	1	false	1	0
1965	4816	0	150	Gull	gull2	0	22	17	22	32	1	1	false	2	0
2010	4710	0	13	Wizard	wizard	9	8	5	8	14	1	10	false	1	8
2010	4714	0	13	Wizard	wizard	9	8	5	8	14	1	10	false	1	8
2012	4713	1	1209	Koftik	caveguide6	0	1	1	1	1	1	1	false	1	0
2021	4710	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2022	4712	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2025	4710	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2025	4713	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2028	4710	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2029	4713	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2031	4699	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2031	4706	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2031	4710	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2031	4714	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2032	4726	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2035	4717	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2035	4724	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2006	4755	0	1059	Strange watcher	macro_theatre_zamorak	0	1	1	1	1	1	1	false	1	0
2011	4762	0	1056	Mime	macro_mime	1	1	1	1	1	1	1	false	1	0
2012	4754	0	1058	Strange watcher	macro_theatre_guthix	0	1	1	1	1	1	1	false	1	0
2015	4756	0	1057	Strange watcher	macro_theatre_saradomin	0	1	1	1	1	1	1	false	1	0
2013	4825	0	465	Murphy	murphy_halfsunk	0	1	1	1	1	1	1	false	1	0
2014	4818	0	150	Gull	gull2	0	22	17	22	32	1	1	false	2	0
2014	4832	0	150	Gull	gull2	0	22	17	22	32	1	1	false	2	0
2018	4831	0	150	Gull	gull2	0	22	17	22	32	1	1	false	2	0
2020	4816	0	149	Gull	gull1	0	22	17	22	32	1	1	false	2	0
2023	4820	0	150	Gull	gull2	0	22	17	22	32	1	1	false	2	0
2122	4562	1	998	Othainian	othainian	91	76	77	78	87	1	1	false	3	0
2131	4602	1	993	Witches cat	cavewitchcat	0	1	1	1	1	1	1	false	1	0
2132	4554	1	1000	Holthion	holthion	91	76	77	78	87	1	1	false	3	0
2134	4565	1	999	Doomion	doomion	91	76	77	78	87	1	1	false	3	0
2150	4591	1	1005	Giant bat	non_combat_bat	0	1	1	1	1	1	1	false	2	0
2155	4566	1	992	Kardia	cavewitch	0	1	1	1	1	1	1	false	1	0
2133	4647	1	1003	Lord Iban	iban	0	76	77	78	87	1	1	false	2	0
2149	4646	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
2150	4648	1	1002	Iban disciple	ibanmonk	13	8	12	8	20	1	1	false	1	0
